disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1470,124,740552.45,390852.02,349700.43,,,,,2023-10-30T00:00:00.000Z,0,08e01ee9d68141cdc74a26f8ddd9d0c4af483002,2023-10-30T05:22:57.890Z,b519dc14-4d41-4685-83b4-0c972b9c4e25
1471,1123,4108811.57,2808922.31,1299889.26,4993708.33,387792.63,4561494.65,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,279127,a48b6044246ab83e74657e36e32d5925654fbb25,2023-10-30T05:22:57.890Z,b656846f-bcaa-4ed7-801e-8c1b64ae2800
2299,,,,,4262388.45,4262388.45,,2023-10-30T00:00:00.000Z,,,443ccbfa0429e4f384610a7e310bccafbf749ec6,2023-10-30T04:22:46.792Z,5571c6ba-a4af-4acf-8484-5421bdef0a45
1472,3219,7297676.37,2955622.13,4342054.24,5305933.78,649888.94,4650221.11,2023-10-30T00:00:00.000Z,2023-10-30T00:00:00.000Z,1075159,b21caed53af0e93fa114a89d2176b45d0f17bfb9,2023-10-30T05:22:57.890Z,8f593c1b-0d8f-42cb-833a-58bfb0f0fa41
2300,,,,,1175444.71,1175444.71,,2023-10-30T00:00:00.000Z,,,ca71919efdd6187f3cc3ec26de5686a972ba3feb,2023-10-30T04:22:46.792Z,405606d0-fd68-4536-af88-a15f372f49e7
2301,,,,,2662100.82,2662100.82,,2023-10-30T00:00:00.000Z,,,fa0d1247c6c029bfc16c01d653d7be0bfca45c13,2023-10-30T04:22:46.792Z,ca1b2e78-c255-4355-9911-177603fa2188
2302,,,,,556922.47,556922.47,,2023-10-30T00:00:00.000Z,,,2e2c21596349c8da3faa792f40dd846cd9427d59,2023-10-30T04:22:46.792Z,9ba72d60-5a1d-4406-b2b0-a998e5b380c6
2303,,,,,1696436.54,1696436.54,,2023-10-30T00:00:00.000Z,,,2611309331c880e7c3fc14028b0455983fe1cea7,2023-10-30T04:22:46.792Z,b646e9c1-e1c5-4ff0-ad48-3ebe8a627748
2304,,,,,587627.7,587627.7,,2023-10-30T00:00:00.000Z,,,58458bb9e9280c4eea57b861e016a90ad46c4bf9,2023-10-30T04:22:46.792Z,b2eb1621-fb90-4555-a9aa-06546e4bcd28
2305,,,,,374315.41,374315.41,,2023-10-30T00:00:00.000Z,,,cc73bc181c95aee5e2e6db23ae0f430404680eab,2023-10-30T04:22:46.792Z,8b3efc94-06d2-4111-995c-3d0c3c76d8a9
